Subregion,Location type,Capacity (m3/d),Unit size (m3/d),Technology,Membrane type (RO),Feedwater,Customer type,Industry,Customer,Plant type,Plant supplier,Plant supplier share,Procurement model,EPC price,Product water salinity,EPC contractor (desal),Equipment supplier : Membranes (Not specified / Other),Holding Company,RO System,RO Feed Pump Drive,RO Membrane Type,RO Pre Treament 1st Stage,Pretreatment
Middle East / North Africa,Land based,500,250,RO (Reverse Osmosis),Spiral Wound Membrane,Brackish water or inland water (TDS 3000ppm - <20000ppm),Industry (TDS <10ppm),,,Stand-alone,Metito,100,EPC,"520,000 USD",,Metito,,Metito,,,Spiral Wound Membrane,,  
Middle East / North Africa,Land based,378,378,RO (Reverse Osmosis),Spiral Wound Membrane,Brackish water or inland water (TDS 3000ppm - <20000ppm),Industry (TDS <10ppm),,,Stand-alone,Hydranautics,100,EPC,"390,000 USD",,Hydranautics,,Nitto Denko Corporation,Single Pass,Electric Motor,Spiral Wound Membrane,,  
Middle East / North Africa,Land based,100,100,RO (Reverse Osmosis),Spiral Wound Membrane,Brackish water or inland water (TDS 3000ppm - <20000ppm),Tourist facilities as drinking water (TDS 10ppm - <1000ppm),,Farouk Monaim,Stand-alone,Metito,100,EPC,"100,000 USD",,Metito,Dow Filmtec (now Dupont Water Solutions),Metito,Single Pass,Electric Motor,Spiral Wound Membrane,,  
Middle East / North Africa,Land based,100,100,RO (Reverse Osmosis),,Seawater (TDS 20000ppm - 50000ppm),Municipalities as drinking water (TDS 10ppm - <1000ppm),,,Stand-alone,Culligan International Company,100,EPC,"270,000 USD",,Culligan International Company,,Culligan International Company,Single Pass,Electric Motor,,,  
Middle East / North Africa,Land based,100,100,RO (Reverse Osmosis),Hollow Fibre Membrane,Brackish water or inland water (TDS 3000ppm - <20000ppm),Municipalities as drinking water (TDS 10ppm - <1000ppm),,,Stand-alone,Culligan International Company,100,EPC,"100,000 USD",,Culligan International Company,DuPont (now Dupont Water Solutions),Culligan International Company,Single Pass,Electric Motor,Hollow Fibre Membrane,,  
Western Europe,Land based,431,431,RO (Reverse Osmosis),Hollow Fibre Membrane,Brackish water or inland water (TDS 3000ppm - <20000ppm),Industry (TDS <10ppm),General,Eurotechnique,Stand-alone,Degremont ,100,EPC,"450,000 USD",0,Degremont ,DuPont (now Dupont Water Solutions),Suez ,Single Pass,Electric Motor,Hollow Fibre Membrane,,  
Western Europe,Land based,500,500,RO (Reverse Osmosis),,Brackish water or inland water (TDS 3000ppm - <20000ppm),Municipalities as drinking water (TDS 10ppm - <1000ppm),,,Stand-alone,Watera Hellas,100,EPC,"520,000 USD",,Watera Hellas,Dow Filmtec (now Dupont Water Solutions),Culligan International Company,Single Pass,Electric Motor,,,  
Southern Asia,Land based,700,700,RO (Reverse Osmosis),Spiral Wound Membrane,Brackish water or inland water (TDS 3000ppm - <20000ppm),Industry (TDS <10ppm),Refining/Chemicals,Metrochem,Stand-alone,Nuchem Weir India Limited,100,EPC,"720,000 USD",0,Nuchem Weir India Limited,Dow Filmtec (now Dupont Water Solutions),Nuchem Weir India Limited,Single Pass,Electric Motor,Spiral Wound Membrane,,  
Southern Asia,Land based,390,195,RO (Reverse Osmosis),Spiral Wound Membrane,River water or low concentrated saline water (TDS 500ppm - <3000ppm),Industry (TDS <10ppm),,Torrent Group,Stand-alone,Nuchem Weir India Limited,100,EPC,"330,000 USD",0,Nuchem Weir India Limited,Dow Filmtec (now Dupont Water Solutions),Nuchem Weir India Limited,Single Pass,Electric Motor,Spiral Wound Membrane,,  
Southern Asia,Land based,360,120,RO (Reverse Osmosis),Spiral Wound Membrane,Brackish water or inland water (TDS 3000ppm - <20000ppm),Tourist facilities as drinking water (TDS 10ppm - <1000ppm),,OWGC,Stand-alone,Ion Exchange Ltd.,100,EPC,"380,000 USD",0,Ion Exchange Ltd.,,Ion Exchange Ltd.,Single Pass,Electric Motor,Spiral Wound Membrane,,  
Southern Asia,Land based,360,360,RO (Reverse Osmosis),Spiral Wound Membrane,Brackish water or inland water (TDS 3000ppm - <20000ppm),Industry (TDS <10ppm),,Agrochem,Stand-alone,Permionics,100,EPC,"370,000 USD",,Permionics,Koch Membrane Systems,Permionics,Single Pass,Electric Motor,Spiral Wound Membrane,,  
Southern Asia,Land based,240,240,RO (Reverse Osmosis),Spiral Wound Membrane,Brackish water or inland water (TDS 3000ppm - <20000ppm),Industry (TDS <10ppm),,Arvid Mills,Stand-alone,Ion Exchange Ltd.,100,EPC,"250,000 USD",0,Ion Exchange Ltd.,,Ion Exchange Ltd.,,,Spiral Wound Membrane,,  
Southern Asia,Land based,180,180,RO (Reverse Osmosis),Spiral Wound Membrane,Brackish water or inland water (TDS 3000ppm - <20000ppm),Industry (TDS <10ppm),,Nova Petrochemical Ltd.,Stand-alone,Thermax Limited,100,EPC,"190,000 USD",0,Thermax Limited,Dow Filmtec (now Dupont Water Solutions),Thermax Limited,Single Pass,Electric Motor,Spiral Wound Membrane,,  
Southern Asia,Land based,120,120,RO (Reverse Osmosis),Spiral Wound Membrane,Brackish water or inland water (TDS 3000ppm - <20000ppm),Tourist facilities as drinking water (TDS 10ppm - <1000ppm),,UP Hotel,Stand-alone,Nuchem Weir India Limited,100,EPC,"130,000 USD",,Nuchem Weir India Limited,Nuchem Weir India Limited,Nuchem Weir India Limited,Single Pass,Electric Motor,Spiral Wound Membrane,,  
Middle East / North Africa,Land based,545,545,RO (Reverse Osmosis),,Brackish water or inland water (TDS 3000ppm - <20000ppm),Industry (TDS <10ppm),,,Stand-alone,Siemens Water Technologies  ,100,EPC,"560,000 USD",,Siemens Water Technologies  ,,"Evoqua Water Technologies, LLC",Single Pass,Electric Motor,,,  
Middle East / North Africa,Land based,400,400,RO (Reverse Osmosis),Hollow Fibre Membrane,Brackish water or inland water (TDS 3000ppm - <20000ppm),Irrigation (TDS <1000ppm),,,Stand-alone,Arocon,100,EPC,"410,000 USD",,Arocon,,Arocon,Single Pass,Electric Motor,Hollow Fibre Membrane,,  
Western Europe,Land based,4300,4300,RO (Reverse Osmosis),Spiral Wound Membrane,Pure water or tap water (TDS <500ppm),Industry (TDS <10ppm),Electronics,,Stand-alone,Christ Water Technology Group ,100,EPC,"2,780,000 USD",,Christ Water Technology Group ,Dow Filmtec (now Dupont Water Solutions),Ovivo,Single Pass,Electric Motor,Spiral Wound Membrane,,  
Western Europe,Land based,1450,1450,RO (Reverse Osmosis),Spiral Wound Membrane,Pure water or tap water (TDS <500ppm),Industry (TDS <10ppm),Electronics,,Stand-alone,Membrane SRL,100,EPC,"1,030,000 USD",,Membrane SRL,Koch Membrane Systems,Membrane SRL,Single Pass,Electric Motor,Spiral Wound Membrane,,  
Western Europe,Land based,1302,651,RO (Reverse Osmosis),,Brackish water or inland water (TDS 3000ppm - <20000ppm),Industry (TDS <10ppm),,,Stand-alone,Aqua Media  ,100,EPC,"1,340,000 USD",,Aqua Media  ,,"Evoqua Water Technologies, LLC",Single Pass,Electric Motor,,,  
Western Europe,Land based,900,900,RO (Reverse Osmosis),Hollow Fibre Membrane,Brackish water or inland water (TDS 3000ppm - <20000ppm),Military purposes (TDS 10ppm- <1000ppm),,,Stand-alone,Culligan Italiana S.p.A.,100,EPC,"920,000 USD",,Culligan Italiana S.p.A.,DuPont (now Dupont Water Solutions),Culligan International Company,Single Pass,Electric Motor,Hollow Fibre Membrane,,  
Western Europe,Land based,720,720,RO (Reverse Osmosis),Spiral Wound Membrane,Pure water or tap water (TDS <500ppm),Industry (TDS <10ppm),Electronics,,Stand-alone,Membrane SRL,100,EPC,"530,000 USD",,Membrane SRL,Koch Membrane Systems,Membrane SRL,Single Pass,Electric Motor,Spiral Wound Membrane,,  
Western Europe,Land based,300,300,RO (Reverse Osmosis),Hollow Fibre Membrane,Brackish water or inland water (TDS 3000ppm - <20000ppm),Industry (TDS <10ppm),,,Stand-alone,Culligan Italiana S.p.A.,100,EPC,"310,000 USD",,Culligan Italiana S.p.A.,DuPont (now Dupont Water Solutions),Culligan International Company,Single Pass,Electric Motor,Hollow Fibre Membrane,,  
Western Europe,Land based,120,120,RO (Reverse Osmosis),Spiral Wound Membrane,Pure water or tap water (TDS <500ppm),Industry (TDS <10ppm),,,Stand-alone,Membrane SRL,100,EPC,"90,000 USD",,Membrane SRL,Dow Filmtec (now Dupont Water Solutions),Membrane SRL,Single Pass,Electric Motor,Spiral Wound Membrane,,  
East Asia / Pacific,Land based,4500,1500,RO (Reverse Osmosis),Spiral Wound Membrane,River water or low concentrated saline water (TDS 500ppm - <3000ppm),Industry (TDS <10ppm),,,Stand-alone,,,EPC,"3,580,000 USD",,,Kurita Water Industries Ltd,,Single Pass,Electric Motor,Spiral Wound Membrane,,  
East Asia / Pacific,Land based,2400,2400,RO (Reverse Osmosis),Spiral Wound Membrane,River water or low concentrated saline water (TDS 500ppm - <3000ppm),Industry (TDS <10ppm),,,Stand-alone,ABCOR (now Koch Membrane Systems),100,EPC,"1,850,000 USD",,ABCOR (now Koch Membrane Systems),Nitto Denko Corporation,Koch Industries Inc.,Single Pass,Electric Motor,Spiral Wound Membrane,,  
East Asia / Pacific,Land based,2400,1200,RO (Reverse Osmosis),Spiral Wound Membrane,Wastewater,Industry (TDS <10ppm),General,Toyota Motor Corp.,Stand-alone,,,EPC,"3,450,000 USD",,,Kurita Water Industries Ltd,,Single Pass,Electric Motor,Spiral Wound Membrane,,  
East Asia / Pacific,Land based,1920,1920,RO (Reverse Osmosis),Spiral Wound Membrane,Pure water or tap water (TDS <500ppm),Industry (TDS <10ppm),,,Stand-alone,,,EPC,"1,350,000 USD",,,Kurita Water Industries Ltd,,Single Pass,Electric Motor,Spiral Wound Membrane,,  
East Asia / Pacific,Land based,905,905,RO (Reverse Osmosis),Spiral Wound Membrane,Pure water or tap water (TDS <500ppm),Industry (TDS <10ppm),,,Stand-alone,Nomura Micro Science,100,EPC,"660,000 USD",,Nomura Micro Science,"Toray Industries, Inc.",Nomura Micro Science,Single Pass,Electric Motor,Spiral Wound Membrane,,  
East Asia / Pacific,Land based,840,840,RO (Reverse Osmosis),Spiral Wound Membrane,Pure water or tap water (TDS <500ppm),Industry (TDS <10ppm),,,Stand-alone,Kurita Water Industries Ltd,100,EPC,"610,000 USD",,Kurita Water Industries Ltd,Kurita Water Industries Ltd,Kurita Water Industries Ltd,Single Pass,Electric Motor,Spiral Wound Membrane,,  
East Asia / Pacific,Land based,816,816,RO (Reverse Osmosis),Spiral Wound Membrane,Pure water or tap water (TDS <500ppm),Industry (TDS <10ppm),Electronics,Nihon Instruments ,Stand-alone,Kurita Water Industries Ltd,100,EPC,"590,000 USD",,Kurita Water Industries Ltd,"Toray Industries, Inc.",Kurita Water Industries Ltd,Single Pass,Electric Motor,Spiral Wound Membrane,,  
East Asia / Pacific,Land based,768,768,RO (Reverse Osmosis),Spiral Wound Membrane,Pure water or tap water (TDS <500ppm),Industry (TDS <10ppm),,,Stand-alone,Nomura Micro Science,100,EPC,"560,000 USD",,Nomura Micro Science,"Toray Industries, Inc.",Nomura Micro Science,Single Pass,Electric Motor,Spiral Wound Membrane,,  
East Asia / Pacific,Land based,480,480,RO (Reverse Osmosis),Spiral Wound Membrane,Wastewater,Industry (TDS <10ppm),,,Stand-alone,Nomura Micro Science,100,EPC,"710,000 USD",,Nomura Micro Science,"Toray Industries, Inc. / Nitto Denko Corporation",Nomura Micro Science,Single Pass,Electric Motor,Spiral Wound Membrane,,  
East Asia / Pacific,Land based,480,480,RO (Reverse Osmosis),Spiral Wound Membrane,River water or low concentrated saline water (TDS 500ppm - <3000ppm),Industry (TDS <10ppm),,,Stand-alone,Nomura Micro Science,100,EPC,"400,000 USD",,Nomura Micro Science,"Toray Industries, Inc.",Nomura Micro Science,Single Pass,Electric Motor,Spiral Wound Membrane,,  
East Asia / Pacific,Land based,456,456,RO (Reverse Osmosis),Spiral Wound Membrane,Pure water or tap water (TDS <500ppm),Industry (TDS <10ppm),,Nihon Instruments ,Stand-alone,Kurita Water Industries Ltd,,EPC,"340,000 USD",,,Nitto Denko Corporation,,Single Pass,Electric Motor,Spiral Wound Membrane,,  
East Asia / Pacific,Land based,432,432,RO (Reverse Osmosis),Spiral Wound Membrane,Pure water or tap water (TDS <500ppm),Industry (TDS <10ppm),,,Stand-alone,Kurita Water Industries Ltd,,EPC,"320,000 USD",,,"Toray Industries, Inc. / Nitto Denko Corporation",,Single Pass,Electric Motor,Spiral Wound Membrane,,  
East Asia / Pacific,Land based,400,400,RO (Reverse Osmosis),Spiral Wound Membrane,Seawater (TDS 20000ppm - 50000ppm),Municipalities as drinking water (TDS 10ppm - <1000ppm),,Chubu Electric Power Company,Stand-alone,Ace Water Treatment Co. Ltd,100,EPC,"1,060,000 USD",,Ace Water Treatment Co. Ltd,Ace Water Treatment Co. Ltd,Ace Water Treatment Co. Ltd,Single Pass,Electric Motor,Spiral Wound Membrane,,  
East Asia / Pacific,Land based,400,400,RO (Reverse Osmosis),Spiral Wound Membrane,River water or low concentrated saline water (TDS 500ppm - <3000ppm),Industry (TDS <10ppm),,,Stand-alone,,,EPC,"330,000 USD",,,Kurita Water Industries Ltd,,Single Pass,Electric Motor,Spiral Wound Membrane,,  
East Asia / Pacific,Land based,360,360,RO (Reverse Osmosis),Spiral Wound Membrane,River water or low concentrated saline water (TDS 500ppm - <3000ppm),Industry (TDS <10ppm),,,Stand-alone,Kurita Water Industries Ltd,,EPC,"300,000 USD",,,Nitto Denko Corporation,,Single Pass,Electric Motor,Spiral Wound Membrane,,  
East Asia / Pacific,Land based,360,360,RO (Reverse Osmosis),Spiral Wound Membrane,Wastewater,Industry (TDS <10ppm),General,,Stand-alone,Kobelco Eco-Solutions,100,EPC,"530,000 USD",,Kobelco Eco-Solutions,Nitto Denko Corporation,Kobe Steel Group,Single Pass,Electric Motor,Spiral Wound Membrane,,  
East Asia / Pacific,Land based,360,360,RO (Reverse Osmosis),Spiral Wound Membrane,River water or low concentrated saline water (TDS 500ppm - <3000ppm),Industry (TDS <10ppm),,,Stand-alone,Nomura Micro Science,50,EPC,"300,000 USD",,Nomura Micro Science,"Toray Industries, Inc.",Nomura Micro Science,Single Pass,Electric Motor,Spiral Wound Membrane,,  
East Asia / Pacific,Land based,300,300,RO (Reverse Osmosis),Spiral Wound Membrane,Brackish water or inland water (TDS 3000ppm - <20000ppm),Industry (TDS <10ppm),,Chubu Electric Power Company,Stand-alone,Ace Water Treatment Co. Ltd,100,EPC,"310,000 USD",,Ace Water Treatment Co. Ltd,Ace Water Treatment Co. Ltd,Ace Water Treatment Co. Ltd,Single Pass,Electric Motor,Spiral Wound Membrane,,  
East Asia / Pacific,Land based,288,288,RO (Reverse Osmosis),Spiral Wound Membrane,Pure water or tap water (TDS <500ppm),Industry (TDS <10ppm),,,Stand-alone,Nomura Micro Science,100,EPC,"210,000 USD",,Nomura Micro Science,"Toray Industries, Inc.",Nomura Micro Science,Single Pass,Electric Motor,Spiral Wound Membrane,,  
East Asia / Pacific,Land based,240,240,RO (Reverse Osmosis),Spiral Wound Membrane,Wastewater,Industry (TDS <10ppm),,,Stand-alone,Nitto Denko Corporation,100,EPC,"360,000 USD",,Nitto Denko Corporation,Nitto Denko Corporation,Nitto Denko Corporation,Single Pass,Electric Motor,Spiral Wound Membrane,,  
East Asia / Pacific,Land based,144,144,RO (Reverse Osmosis),Spiral Wound Membrane,Pure water or tap water (TDS <500ppm),Industry (TDS <10ppm),,,Stand-alone,Kurita Water Industries Ltd,,EPC,"110,000 USD",,,"Toray Industries, Inc.",,Single Pass,Electric Motor,Spiral Wound Membrane,,  
East Asia / Pacific,Land based,110,110,RO (Reverse Osmosis),Spiral Wound Membrane,Brackish water or inland water (TDS 3000ppm - <20000ppm),Industry (TDS <10ppm),,,Stand-alone,Nomura Micro Science,100,EPC,"120,000 USD",,Nomura Micro Science,"Toray Industries, Inc.",Nomura Micro Science,Single Pass,Electric Motor,Spiral Wound Membrane,,  
Middle East / North Africa,Land based,3028,757,RO (Reverse Osmosis),Hollow Fibre Membrane,Seawater (TDS 20000ppm - 50000ppm),Industry (TDS <10ppm),Oil & Gas,,Stand-alone,EMCO Group,100,EPC,"7,960,000 USD",,EMCO Group,DuPont (now Dupont Water Solutions),EMCO Group,Single Pass,Electric Motor,Hollow Fibre Membrane,,  
Eastern Europe / Central Asia,Land based,20000,2000,RO (Reverse Osmosis),Spiral Wound Membrane,Brackish water or inland water (TDS 3000ppm - <20000ppm),Industry (TDS <10ppm),Oil & Gas,Mangistaumanaygaz JSC,Stand-alone,Keldysh,100,EPC,"27,020,000 USD",,Keldysh,Dow Filmtec,Keldysh,Single Pass,Electric Motor,Spiral Wound Membrane,,  
Eastern Europe / Central Asia,Land based,20000,,RO (Reverse Osmosis),,Seawater (TDS 20000ppm - 50000ppm),Municipalities as drinking water (TDS 10ppm - <1000ppm),,The Mangistau Oblast' (province ) of Kazakhstan,,Mediana-Filter Moscow,100,EPC,"24,000,000 USD",,Mediana-Filter Moscow,,Mediana-Filter Moscow,,,,,  
Eastern Europe / Central Asia,Land based,200,200,RO (Reverse Osmosis),Spiral Wound Membrane,Seawater (TDS 20000ppm - 50000ppm),Municipalities as drinking water (TDS 10ppm - <1000ppm),,,Stand-alone,Keldysh,100,EPC,"540,000 USD",,Keldysh,Dow Filmtec (now Dupont Water Solutions),Keldysh,Single Pass,Electric Motor,Spiral Wound Membrane,,  
Middle East / North Africa,Land based,1200,1200,RO (Reverse Osmosis),,Brine or concentrated seawater (TDS >50000ppm),Industry (TDS <10ppm),,,Stand-alone,Mannesmann (closed),100,EPC,"3,790,000 USD",,Mannesmann (closed),,Vodafone,,,,,  
Middle East / North Africa,Land based,600,600,RO (Reverse Osmosis),Spiral Wound Membrane,Brackish water or inland water (TDS 3000ppm - <20000ppm),Municipalities as drinking water (TDS 10ppm - <1000ppm),,City of Al Assah ,Stand-alone,ELGA Berkefeld GmbH,100,EPC,"620,000 USD",,ELGA Berkefeld GmbH,Dow Filmtec (now Dupont Water Solutions),Veolia,Single Pass,Electric Motor,Spiral Wound Membrane,,  
Middle East / North Africa,Land based,200,200,RO (Reverse Osmosis),,Brackish water or inland water (TDS 3000ppm - <20000ppm),Municipalities as drinking water (TDS 10ppm - <1000ppm),,,Stand-alone,Metito,100,EPC,"210,000 USD",,Metito,DuPont (now Dupont Water Solutions),Metito,Single Pass,Electric Motor,,,  
Latin America / Caribbean,Land based,2000,2000,RO (Reverse Osmosis),Spiral Wound Membrane,Seawater (TDS 20000ppm - 50000ppm),Tourist facilities as drinking water (TDS 10ppm - <1000ppm),,,Stand-alone,Kraftanlagen,100,EPC,"5,030,000 USD",,Kraftanlagen,,Kraftanlagen,Single Pass,Electric Motor,Spiral Wound Membrane,,  
Latin America / Caribbean,Land based,1000,1000,RO (Reverse Osmosis),Spiral Wound Membrane,Seawater (TDS 20000ppm - 50000ppm),Tourist facilities as drinking water (TDS 10ppm - <1000ppm),,,Stand-alone,Kraftanlagen,100,EPC,"2,610,000 USD",,Kraftanlagen,,Kraftanlagen,Single Pass,Electric Motor,Spiral Wound Membrane,,  
Latin America / Caribbean,Land based,1000,1000,RO (Reverse Osmosis),Spiral Wound Membrane,Seawater (TDS 20000ppm - 50000ppm),Tourist facilities as drinking water (TDS 10ppm - <1000ppm),,,Stand-alone,"Lukap, S.A.",100,EPC,"2,610,000 USD",,"Lukap, S.A.",,"Lukap, S.A.",Single Pass,Electric Motor,Spiral Wound Membrane,,  
Middle East / North Africa,Land based,275000,68750,RO (Reverse Osmosis),,Seawater (TDS 20000ppm - 50000ppm),Municipalities as drinking water (TDS 10ppm - <1000ppm),,Saline Water Conversion Corporation,Stand-alone,Abengoa,100,BOT,"120,000,000 USD",0,Abengoa,,Abengoa,,,,Ultrafiltration,Ultrafiltration  
Middle East / North Africa,Land based,17280,,RO (Reverse Osmosis),,Seawater (TDS 20000ppm - 50000ppm),Municipalities as drinking water (TDS 10ppm - <1000ppm),,Office National de l’Electricité et de l’Eau Potable (ONEE),,Tedagua,,EPC,"24,500,000 USD",,Tedagua,,ACS (Actividades de Construccion y Servicios),,,,,  
East Asia / Pacific,Land based,120,120,RO (Reverse Osmosis),Spiral Wound Membrane,Seawater (TDS 20000ppm - 50000ppm),Industry (TDS <10ppm),Power,,Stand-alone,Kawasaki,100,EPC,"320,000 USD",,Kawasaki,Nitto Denko Corporation,Kawasaki,Single Pass,Electric Motor,Spiral Wound Membrane,,  
Middle East / North Africa,Land based,190932,23866.5,RO (Reverse Osmosis),,Seawater (TDS 20000ppm - 50000ppm),Municipalities as drinking water (TDS 10ppm - <1000ppm),,Oman Power and Water Procurement Company SAOC,Stand-alone,"Cadagua, VA Tech Wabag Ltd., Calder AG",50,BOO,"300,000,000 USD",,Cadagua / VA Tech Wabag Ltd.,,Consortium,Two Pass,,,Dissolved Air Flotion (DAF),"Dissolved Air Flotion (DAF),Dual Media Filtration  "
Middle East / North Africa,Land based,200,200,RO (Reverse Osmosis),Hollow Fibre Membrane,Brine or concentrated seawater (TDS >50000ppm),Tourist facilities as drinking water (TDS 10ppm - <1000ppm),,,Stand-alone,Al Burooj,100,EPC,"660,000 USD",,Al Burooj,DuPont (now Dupont Water Solutions),Al Burooj,Single Pass,Electric Motor,Hollow Fibre Membrane,,  
Middle East / North Africa,,3000,,RO (Reverse Osmosis),,Brackish water or inland water (TDS 3000ppm - <20000ppm),Irrigation (TDS <1000ppm),,Galfar Engineering,,Metito,,EPC,"4,200,000 QAR",,Metito,,Metito,,,,Ultrafiltration,Ultrafiltration  
Middle East / North Africa,Land based,681,681,RO (Reverse Osmosis),,Brackish water or inland water (TDS 3000ppm - <20000ppm),Municipalities as drinking water (TDS 10ppm - <1000ppm),,Government of Qatar,Stand-alone,Water Services of America (Evoqua),100,EPC,"700,000 USD",,Water Services of America (Evoqua),,"Evoqua Water Technologies, LLC",Single Pass,Electric Motor,,,  
Middle East / North Africa,Land based,90909,6060.6,RO (Reverse Osmosis),Hollow Fibre Membrane,Seawater (TDS 20000ppm - 50000ppm),Municipalities as drinking water (TDS 10ppm - <1000ppm),,Saline Water Conversion Corporation,Stand-alone,"Preussag Saudi Arabia Ltd, Preussag Wassertechnik(PWT)",100,EPC,"138,000,000 USD",450,Preussag Saudi Arabia Ltd,DuPont (now Dupont Water Solutions),Arabian Company for Water & Power Development Ltd.,Single Pass,Electric Motor,Hollow Fibre Membrane,,  
Middle East / North Africa,Land based,60000,,RO (Reverse Osmosis),,Seawater (TDS 20000ppm - 50000ppm),Municipalities as drinking water (TDS 10ppm - <1000ppm),,King Abdulaziz City for Science and Technology (KACST),,Aqualia,,DBO,"130,000,000 USD",,Aqualia,,"Fomento de Construcciones y Contratas, S.A. (FCC)",,,,Dissolved Air Flotion (DAF),"Dissolved Air Flotion (DAF),Ultrafiltration  "
Middle East / North Africa,Land based,50000,8333.33,RO (Reverse Osmosis),Spiral Wound Membrane,Brackish water or inland water (TDS 3000ppm - <20000ppm),Municipalities as drinking water (TDS 10ppm - <1000ppm),,Ministry of Agriculture and Water,Stand-alone,VA Tech Wabag GmbH,100,EPC,"40,110,000 USD",,VA Tech Wabag GmbH,,VA Tech Wabag Ltd.,Single Pass,Electric Motor,Spiral Wound Membrane,,  
Middle East / North Africa,Land based,36000,9000,RO (Reverse Osmosis),,Brackish water or inland water (TDS 3000ppm - <20000ppm),Industry (TDS <10ppm),Food & Beverage,Ministry of Agriculture and Water,Stand-alone,"Siemens Water Technologies, VA Tech Wabag GmbH",0,EPC,"28,340,000 USD",,Siemens Water Technologies / VA Tech Wabag GmbH,"Toray Industries, Inc.",Consortium,Single Pass,Electric Motor,,,  
